ASN,domains
31178,16685
32400,16646
20853,16595
58212,16590
204957,16537
25832,16488
10796,16453
328453,16397
17514,16359
153656,16337
151630,16320
9121,16231
22894,16212
133847,16200
207604,16167
51395,16157
9150,16114
4847,15917
211611,15917
393398,15908
51295,15879
14992,15832
17511,15830
135967,15817
47002,15770
9308,15761
47172,15759
58519,15751
38927,15749
132056,15734
9952,15607
53939,15573
133800,15566
46505,15493
20278,15480
150172,15453
18068,15448
19122,15437
12695,15428
53087,15395
28209,15380
201563,15371
140869,15322
41227,15210
812,15162
16097,15137
62416,15124
196763,15079
29119,15044
30058,14990
147008,14988
398019,14967
4788,14951
59778,14852
49870,14836
39384,14802
50867,14797
43513,14763
23033,14702
6461,14701
205056,14686
38277,14599
11045,14588
5617,14587
201691,14585
17589,14559
49788,14557
3265,14463
211642,14457
59674,14445
202269,14421
50613,14418
42331,14397
1680,14393
40476,14336
214882,14331
31122,14331
12430,14325
29243,14271
8312,14255
46824,14244
12655,14240
148981,14218
35041,14213
30823,14174
36007,14097
3269,14082
37061,14077
141892,14073
11427,14050
56309,14047
34922,14043
207048,14042
43853,14017
328543,14004
852,13997
42043,13985
199242,13967
45324,13921
152918,13913
57376,13908
3132,13894
5602,13888
30836,13848
6739,13828
62121,13826
140389,13806
34358,13789
5413,13760
16019,13754
140801,13733
12129,13674
9211,13662
59210,13587
48282,13538
51396,13511
12306,13497
58262,13472
22653,13421
401152,13411
25560,13409
39146,13397
45459,13373
197248,13358
4670,13357
42422,13313
214238,13301
17561,13292
46841,13276
207326,13215
44869,13213
197726,13209
200698,13192
63148,13177
139456,13166
40630,13112
23393,13108
38913,13082
271493,13024
204818,13017
29208,13004
8068,12992
12741,12927
22458,12878
3302,12873
21013,12807
31586,12785
205090,12756
209641,12750
20001,12748
36647,12744
3242,12736
41541,12735
58955,12733
33191,12718
6871,12711
50304,12707
39923,12693
199695,12678
215730,12635
8758,12635
6327,12540
56153,12507
209854,12468
38732,12465
398113,12463
21060,12459
35833,12450
49699,12422
61029,12415
59711,12390
11608,12374
146943,12372
28924,12371
199758,12321
46746,12319
209510,12316
2609,12300
34233,12297
133115,12286
42473,12281
200593,12274
4835,12270
39962,12225
215826,12211
48950,12204
34828,12194
49367,12179
60071,12141
38182,12139
62442,12098
