asn,vri_count
AS29141,20
AS60406,1
AS198867,2
AS44534,47
AS207304,5
AS13238,21
AS208398,26
AS5410,22
AS15425,9
AS50923,53
AS61137,9
AS35297,22
AS13124,512
AS29580,591
AS8717,116
AS3329,434
AS61408,26
AS39120,48
AS33891,57
AS62553,12
AS199414,14
AS214025,107
AS36530,107
AS215304,83
AS212173,5
AS41075,10
AS5588,35
AS12301,161
AS199248,9
AS8926,113
AS41221,105
AS212227,3
AS51026,38
AS204544,26
AS208555,39
AS50673,77
AS215419,9
AS60374,1
AS61191,1
AS200296,8
AS15552,12
AS31027,104
AS202207,13
AS38999,17
AS3176,3
AS24982,2
AS39010,172
AS8449,8
AS43996,78
AS202196,122
AS199434,8
AS204104,27
AS213775,6
AS198154,27
AS198608,3
AS49332,9
AS8330,5
AS49902,19
AS43939,56
AS12360,28
AS29037,19
AS199554,5
AS49121,34
AS44539,3
AS7393,135
AS16223,4
AS203136,12
AS202564,3
AS59494,6
AS202813,39
AS205645,4
AS211137,1
AS202654,5
AS41050,3
AS57707,7
AS204666,37
AS212013,2
AS203324,4
AS57971,1
AS211726,2
AS212109,7
AS49985,6
AS198668,19
AS51500,20
AS50083,2
AS207369,8
AS212097,26
AS212043,3
AS208149,4
AS212271,38
AS204923,3
AS51178,15
AS199072,2
AS47764,60
AS58262,14
AS57935,9
AS28753,140
AS15644,6
AS134963,166
AS58173,13
AS8469,13
AS20546,157
AS24582,9
AS213468,1
AS20904,20
AS39683,6
AS199373,4
AS25460,7
AS58243,98
AS215876,1
AS29286,521
AS215998,2
AS209282,6
AS202709,24
AS12333,7
AS20857,78
AS36351,40
AS133480,45
AS16397,1
AS206334,5
AS199610,177
AS62275,10
AS14537,39
AS51020,33
AS198589,68
AS57218,221
AS37284,18
AS57497,44
AS16322,88
AS16292,1
AS201121,3
AS206947,2
AS200209,7
AS211557,9
AS201130,4
AS44947,27
AS52209,14
AS58192,13
AS31688,19
AS3257,620
AS6461,227
AS30781,111
AS62336,48
AS49813,20
AS21309,50
AS197695,399
AS49800,14
AS201921,2
AS61310,18
AS16110,8
AS20670,6
AS21334,81
AS44395,43
AS212317,2
AS60781,511
AS35819,874
AS51050,9
AS58273,16
AS35362,8
AS28717,12
AS56553,2
AS39888,3
AS206431,2
AS64398,4
AS35775,3
AS50563,99
AS61395,2
AS214639,9
AS206023,3
AS211066,21
AS215136,4
AS206996,83
AS214320,3
AS212477,103
AS53850,16
AS44486,124
AS214564,3
AS214902,9
AS210537,6
AS44103,19
AS209874,46
AS214783,7
AS207252,38
AS215375,4
AS216084,6
AS196609,2
AS200924,44
AS207645,16
AS214432,74
AS7018,1338
AS199614,61
AS215672,33
AS28876,13
AS58324,2
AS2635,30
AS30873,127
AS61275,28
AS52157,9
AS12481,3
AS56902,24
AS44709,90
AS201952,6
AS39421,11
AS201589,18
AS61308,12
AS60602,16
AS62563,29
AS56380,7
AS50113,63
AS44050,19
AS60931,8
AS25591,26
AS39047,1
AS60115,2
AS10753,106
AS200999,35
AS208984,1
AS210272,1
AS208423,1
AS208424,1
AS42908,44
AS41023,5
AS51110,19
AS8586,17
AS7488,15
AS270158,17
AS270172,4
AS215355,15
AS199976,8
AS201359,1
AS209259,1
AS207191,1
AS200380,1
AS52102,17
AS59414,15
AS199284,12
AS50300,10
AS214982,3
AS6908,46
AS47956,46
AS44869,14
AS47883,115
AS198977,3
AS48815,31
AS12779,26
AS42833,1
AS209372,310
AS201671,8
AS216127,57
AS131199,9
AS141995,53
AS51873,6
AS57112,29
AS64437,19
AS43350,101
AS21263,44
AS203507,19
AS206970,2
AS34376,14
AS49699,14
AS34524,6
AS210992,2
AS205331,3
AS31420,6
AS34659,23
AS28760,7
AS62370,40
AS58321,62
AS204384,204
AS204721,7
AS34400,24
AS31200,54
AS60119,13
AS206817,2
AS205076,1
AS57494,42
AS51789,5
AS50266,36
AS44453,17
AS47692,66
AS31400,17
AS44066,57
AS59395,30
AS57704,40
AS199046,28
AS31543,29
AS199468,11
AS198102,19
AS198471,10
AS198292,5
AS213365,1
AS15440,53
AS56844,3
AS34177,94
AS14717,29
AS61081,4
AS60880,10
AS43366,35
AS39184,184
AS35617,16
AS200752,5
AS200193,4
AS197555,4
AS209737,54
AS210529,1
AS38933,1
AS47605,10
AS57784,1
AS44687,1
AS212589,1
AS212602,8
AS212523,2
AS8193,122
AS48011,53
AS20875,15
AS41877,9
AS6830,173
AS57099,30
AS43207,13
AS205081,14
AS51747,40
AS196925,22
AS197227,12
AS59407,2
AS58345,1
AS39232,103
AS197336,3
AS39039,7
AS207810,8
AS215501,1
AS215416,1
AS16190,12
AS62129,5
AS41937,19
AS59432,42
AS209583,1
AS3242,64
AS42656,8
AS35177,10
AS60716,1
AS12668,156
AS15468,45
AS12730,4
AS197571,1
AS50714,3
AS203841,1
AS209823,10
AS25091,22
AS50785,8
AS59445,3
AS61349,10
AS8359,93
AS60891,1
AS59441,88
AS8304,16
AS197991,9
AS214143,245
AS12637,50
AS205203,2
AS56971,130
AS201021,45
AS31638,80
AS29247,20
AS203165,6
AS60423,24
AS60256,8
AS58267,1
AS35193,6
AS34953,14
AS44381,10
AS59438,1
AS39020,72
AS211678,3
AS140079,4
AS208484,3
AS25180,14
AS29691,15
AS34960,19
AS57888,22
AS59847,19
AS59422,9
AS59458,14
AS57588,37
AS29467,12
AS25393,19
AS28907,34
AS6696,46
AS48844,6
AS21438,12
AS56724,8
AS201551,5
AS60731,3
AS56410,24
AS199256,20
AS47548,23
AS196890,5
AS50477,31
AS12611,17
AS59711,158
AS61046,11
AS201525,10
AS211775,2
AS60187,86
AS3302,30
AS15502,260
AS34912,2
AS36131,42
AS10122,246
AS8473,54
AS6079,767
AS35805,22
AS202870,20
AS214875,14
AS197075,31
AS60530,7
AS57630,50
AS59472,3
AS5538,8
AS59695,1
AS12703,42
AS44574,27
AS25400,179
AS209595,1
AS41039,14
AS8274,10
AS41081,1
AS213544,2
AS196977,4
AS50957,9
AS207614,7
AS199952,16
AS206757,26
AS60711,12
AS48427,18
AS199738,38
AS204774,5
AS206124,7
AS203600,10
AS209551,6
AS57869,27
AS206492,8
AS6718,24
AS33881,1
AS47787,27
AS207535,4
AS6775,535
AS198454,7
AS8400,155
AS59790,30
AS207148,1
AS6663,53
AS209622,6
AS199967,84
AS205056,3
AS8289,1
AS58065,52
AS60485,9
AS49515,7
AS51269,13
AS62163,17
AS21162,6
AS35612,24
AS49687,12
AS212192,17
AS197476,5
AS199181,4
AS38934,4
AS59518,11
AS2914,1389
AS3949,514
AS275,12
AS199143,7
AS34892,17
AS8362,21
AS211410,3
AS49808,24
AS59499,4
AS59503,1
AS61167,1
AS200568,3
AS9136,21
AS202016,3
AS61194,3
AS198357,13
AS49556,64
AS60871,1
AS59508,3
AS59659,4
AS12338,53
AS45014,30
AS215497,1
AS48620,4
AS34655,34
AS41296,5
AS200554,5
AS212355,1
AS61176,1
AS29577,41
AS57241,23
AS62318,1
AS51431,22
AS62157,1
AS60539,6
AS200252,3
AS51235,26
AS213644,6
AS198926,3
AS64460,1
AS214184,2
AS62048,10
AS50855,2
AS215779,1
AS49847,21
AS42586,22
AS60811,2
AS59797,1
AS59961,2
AS59838,3
AS62039,4
AS16018,1
AS59757,1
AS59501,1
AS50692,3
AS62265,3
AS49796,13
AS49433,7
AS35615,11
AS35043,6
AS198341,2
AS213230,5
AS28964,50
AS9125,316
AS20559,33
AS31115,14
AS51580,26
AS20712,65
AS212136,13
AS27176,32
AS29695,33
AS199081,78
AS197389,1
AS60911,1
AS13113,11
AS199139,5
AS38983,7
AS8374,19
AS39603,20
AS201019,9
AS50926,39
AS56595,47
AS47886,17
AS44507,19
AS200993,13
AS214019,3
AS47585,9
AS146943,42
AS213512,10
AS209193,15
AS200456,8
AS197071,37
AS215666,2
AS62904,22
AS200636,8
AS204245,1
AS48314,131
AS206479,1
AS47263,15
AS215685,6
AS213850,5
AS213493,2
AS213501,4
AS210174,1
AS211301,11
AS213999,29
AS60064,16
AS61302,8
AS15723,70
AS39647,533
AS15962,22
AS42708,106
AS140641,43
AS215140,3
AS44547,42
AS214271,16
AS215124,4
AS213939,4
AS216155,3
AS59554,7
AS60475,11
AS16010,47
AS8605,4
AS3241,3
AS59597,8
AS197308,21
AS49463,13
AS34235,3
AS34244,39
AS202469,1
AS49587,1
AS41111,58
AS18978,24
AS215026,19
AS48728,210
AS208944,1
AS200131,13
AS211484,24
AS198607,1
AS209146,2
AS56987,4
AS147049,97
AS212916,2
AS215703,40
AS212514,3
AS5511,509
AS209141,1
AS213257,6
AS57169,147
AS208244,3
AS35202,2
AS57747,1
AS203084,2
AS29657,18
AS209549,6
AS43633,12
AS13030,69
AS207569,44
AS210702,1
AS50319,4
AS50377,3
AS204922,3
AS205198,2
AS207346,2
AS40021,52
AS51184,16
AS206801,7
AS209137,13
AS137409,384
AS203576,28
AS51170,5
AS206483,4
AS215163,4
AS199839,17
AS209135,8
AS24971,45
AS49544,165
AS204805,162
AS8637,7
AS214083,21
AS209043,57
AS47626,14
AS199290,17
AS34984,2494
AS51814,4
AS206119,69
AS201341,154
AS211289,2
AS210855,2
AS211128,1
AS205847,11
AS50360,21
AS51358,4
AS62206,92
AS211632,2
AS50825,5
AS43915,49
AS135402,48
AS55720,308
AS200223,5
AS211588,8
AS202673,15
AS39798,13
AS206459,2
AS205282,3
AS62164,49
AS51765,80
AS59651,77
AS26548,170
AS35830,36
AS214677,22
AS211407,16
AS211673,4
AS36352,372
AS215238,9
AS211373,75
AS213794,2
AS207208,3
AS201814,48
AS60989,6
AS51684,360
AS215597,54
AS209088,1
AS214286,15
AS51681,9
AS42962,10
AS45102,143
AS35145,4
AS210237,1
AS42947,37
AS207174,8
AS198690,4
AS209116,1
AS201902,6
AS209709,18
AS34927,102
AS8860,28
AS209945,1
AS26042,74
AS56322,27
AS209110,2
AS61173,43
AS41720,13
AS53340,47
AS64249,29
AS43045,4
AS205891,3
AS210644,365
AS209106,4
AS205000,3
AS9087,23
AS401838,283
AS212683,6
AS11426,200
AS57087,15
AS209095,2
AS50818,12
AS61026,11
AS198906,8
AS209097,28
AS5539,34
AS205555,12
AS203641,3
AS209906,10
AS208957,1
AS211402,4
AS33651,4871
AS33667,463
AS7015,6580
AS209094,2
AS206521,16
AS207357,1
AS62068,27
AS35280,90
AS21396,19
AS56630,154
AS213648,3
AS12897,31
AS31034,73
AS212905,4
AS212201,1
AS209042,2
AS47176,12
AS214873,5
AS201476,17
AS39305,41
AS197033,29
AS12748,7
AS211285,2
AS57395,36
AS209044,3
AS62235,63
AS35258,16
AS398779,14
AS52471,15
AS22773,14819
AS6424,82
AS51083,21
AS200818,6
AS210687,2
AS41327,16
AS197133,14
AS209298,2
AS56985,2
AS208653,2
AS209072,3
AS43618,7
AS210767,4
AS62300,13
AS196695,12
AS60987,10
AS212344,5
AS49645,20
AS60201,1
AS57668,1
AS39383,7
AS202486,24
AS200487,5
AS200438,2
AS213467,3
AS211440,93
AS12998,5
AS5405,10
AS209050,2
AS14576,70
AS5617,137
AS43447,10
AS49628,40
AS57768,10
AS213298,10
AS199092,5
AS21351,11
AS205553,4
AS47478,1
AS200590,73
AS56534,47
AS49453,103
AS199860,12
AS39238,64
AS56694,22
AS49287,12
AS47193,7
AS32780,10
AS200391,1
AS204272,6
AS134351,49
AS50509,2
AS49665,3
AS48225,2
AS211670,1
AS31721,65
AS200729,6
AS201678,6
AS57293,36
AS12390,25
AS61425,1
AS44530,3
AS209523,9
AS12552,131
AS49438,5
AS12414,16
AS204770,21
AS216444,8
AS48284,9
AS44702,66
AS33915,385
AS12521,6
AS39398,9
AS49984,8
AS24631,287
AS206862,8
AS56466,9
AS12324,7
AS56547,27
AS34918,61
AS49100,110
AS201150,22
AS49596,17
AS39364,3
